year,id_firm,logl,logk,logm,logq,invest
5,10,2.679753,3.478585,2.680181,3.040375,33.0799
6,10,2.634735,3.524456,2.642317,3.218295,39.65804
7,10,2.734038,3.507788,2.892093,3.389242,41.15317
8,10,2.86036,3.47405,2.785172,3.240925,48.89402
9,10,3.076653,3.50522,2.624332,3.386254,49.60428
0,13,1.096127,1.202136,1.209599,1.508353,4.134453
1,13,1.18226,1.365387,.8935923,1.186822,1.808562
2,13,.686244,1.203056,.6165732,.7109104,1.584353
3,13,.3973368,.5965413,.3020215,-.1290744,1.289244
4,13,.3739172,.3971348,.1513807,.3089015,.3972313
5,13,.2808717,.3737166,-.0371511,.4023457,.798085
6,13,.2019777,.4104834,-.0112204,-.0507349,.8075625
7,13,.0822817,.3167008,-.2564186,.1397044,.4782356
8,13,.2376749,-.0744569,-.475239,-.0919268,.546279
9,13,.0963467,-.0466655,-.6542084,-.2501409,.5932971
0,14,-.6487316,-1.426988,-1.014753,-.5186152,0
1,14,-.3484434,-1.414532,-1.331708,-.6837305,.5379708
2,14,-.4500164,-1.183929,-.9536604,-.93931,.1751057
3,14,-.7896056,-1.29432,-1.100161,-.9928412,.3913741
4,14,-.696403,-1.401164,-1.209114,-1.196501,0
5,14,-.6396394,-1.244983,-1.005649,-.7869401,.1861035
6,14,-.819988,-1.303503,-1.040435,-.9055622,0
7,14,-.7315428,-1.243242,-1.284142,-1.175474,.16334
8,14,-.8212537,-1.62567,-.9393777,-1.129326,.2105632
9,14,-.8077533,-1.534958,-1.019827,-1.069931,.1716702
0,17,-.8659171,-1.916961,-1.404908,-.8761622,.1716605
1,17,-.7353293,-1.659768,-1.339419,-.7661431,.1435594
2,17,-1.091116,-1.595647,-1.553057,-.9999872,.1678872
3,17,-.7645616,-1.962643,-1.237584,-1.064214,.1070504
4,17,-.9493862,-1.81006,-1.779798,-1.018909,.1297479
5,17,-1.008527,-1.863307,-2.07374,-1.151791,.2147238
6,17,-1.287274,-2.081831,-1.642024,-1.536711,0
7,17,-1.146975,-2.157928,-1.90664,-1.623895,0
8,17,-1.50458,-2.385348,-2.057929,-1.565312,0
9,17,-1.137615,-2.553975,-2.16549,-1.867766,0
0,22,1.526279,1.224721,-.3764737,1.470114,0
1,22,1.752128,1.203714,-1.183038,1.460294,9.533485
2,22,1.665364,1.472391,-1.453373,1.526961,0
3,22,1.908254,1.731092,-.7655719,2.09567,17.3191
4,22,1.979726,2.115414,.548919,1.956241,34.96791
5,22,1.926577,2.156285,.0200592,1.529018,16.41652
6,22,1.836809,2.103167,.0678001,1.56959,7.263041
7,22,2.155531,2.224326,.6330072,1.97712,14.13526
8,22,1.846419,2.213566,.9791732,1.998679,12.42698
9,22,1.826745,2.261482,.7832884,1.840692,13.83673
0,25,2.403628,3.906491,2.024565,2.560783,65.66713
1,25,2.341024,3.748027,2.066322,2.694077,50.93703
2,25,2.619657,3.67742,1.401759,2.73669,49.3697
3,25,2.56213,3.737388,1.78157,2.587966,32.96789
4,25,2.575712,3.774554,1.148916,2.77623,33.30604
5,25,2.711148,3.997735,.9505004,2.835095,0
6,25,2.032654,3.720573,2.194711,2.550318,40.57467
7,25,1.736421,3.535194,2.090397,2.224922,33.0743
8,25,1.855519,3.577197,2.092606,2.219277,37.98686
9,25,1.903604,3.484543,2.180086,2.36252,35.14172
0,27,-.1785616,-.9056269,-.9916848,-.8371731,0
1,27,-.1368703,-.9727511,-1.130482,-.9331728,.1598928
2,27,-.3966561,-.9240124,-1.342348,-.9085603,.3755974
3,27,-.1212271,-.8376612,-1.359262,-1.017514,.2771989
4,27,-.4854339,-.8934029,-1.193358,-1.197022,.354629
5,27,-.3038666,-.6165876,-1.761978,-1.51234,.3290454
6,27,-.4898605,-.6538716,-1.698909,-1.513803,.1173385
7,27,-.3462451,-.846638,-1.719582,-1.482766,.155962
8,27,-.6497014,-.9020324,-1.700368,-1.38225,.1524082
9,27,-.8743558,-1.006838,-1.926367,-1.764315,.1425117
0,29,2.606293,2.321504,1.077466,2.707789,6.500177
1,29,3.405358,2.634513,2.084804,2.835225,9.080035
2,29,2.944233,2.419801,3.090817,3.052202,10.54515
3,29,3.021278,2.10378,2.524358,2.368271,0
4,29,2.854403,1.979621,2.471383,2.656076,6.651467
5,29,2.757977,1.570873,2.486243,2.504191,7.915323
6,29,2.296088,1.020156,1.859473,1.603729,3.01392
7,29,1.940379,.5688906,1.352602,.8108136,1.391771
8,29,1.638208,.463534,1.669087,1.258414,1.80055
9,29,1.683932,.2852152,1.452483,.9772711,1.700509
0,31,-1.190273,-2.091398,-2.612901,-1.44308,0
1,31,-1.422543,-2.070891,-2.507251,-1.382634,0
2,31,-1.532072,-2.11196,-2.517862,-1.652208,0
3,31,-1.307544,-2.16316,-2.650196,-1.696718,0
4,31,-1.295652,-2.229246,-2.824717,-1.528068,.1394386
5,31,-1.413023,-2.175861,-2.894853,-1.701478,.1427896
6,31,-1.61368,-2.129452,-2.706955,-1.704646,.1861982
7,31,-1.490798,-2.00508,-2.94781,-1.76493,0
8,31,-1.693304,-1.914802,-3.14282,-1.772733,0
9,31,-1.48406,-2.112575,-3.045926,-1.820227,0
0,32,.9663419,.5956165,1.080964,.9254097,.9052736
1,32,.855127,.5736475,.7859282,.9180688,.3491021
2,32,.331327,.0966325,.5786317,.0082486,.4305101
3,32,.6181477,.2314549,.2256533,.3610631,.4998127
4,32,.6569262,-.0835302,.2767811,.7014301,1.767782
5,32,.4526247,.1041587,.2109753,.3522191,1.988975
6,32,.9025199,.0970377,.8693964,.6650265,1.620298
7,32,.8995273,.0354113,.9207298,.8305574,1.040601
8,32,.8745862,.0663694,.7857691,.7207335,0
9,32,.7871872,-.0914002,.6729947,.5378508,.8875909
0,39,2.331178,4.736377,3.239191,2.964601,111.8892
1,39,2.264152,4.686443,2.91683,2.529375,93.39222
2,39,1.902864,4.678769,3.062528,2.08766,42.78518
3,39,2.075983,4.465111,2.880872,2.081314,16.46854
4,39,2.01133,4.221823,2.697892,2.170789,16.29539
5,39,1.448155,4.089963,2.540384,1.684883,12.95787
6,39,2.449678,4.221907,.6493191,2.379774,0
7,39,2.109992,4.085819,2.606688,2.750108,0
8,39,2.124142,3.885442,2.82196,2.556746,0
9,39,2.209054,3.816037,2.508675,2.688819,0
0,41,.3603405,.8085529,.2179369,.0688229,1.510887
1,41,.1836307,.5798952,-.0669393,-.2538624,.6090738
2,41,.0688233,.791641,-.3274517,.0268308,1.045161
3,41,.2262741,.8077252,-.1837469,.252007,.9771153
4,41,.5244023,.2840216,.1539965,.5188887,1.230538
5,41,.3538116,.2642376,.0416093,.3907414,1.780598
6,41,.2728826,.2998925,-.0034949,.1946224,1.570879
7,41,.4768385,.1732106,-.0192699,.2407081,1.176581
8,41,.3809385,.1709279,.0046775,.2949635,.9813779
9,41,.3979662,.2301068,-.0275725,.0967565,1.52079
0,43,.691743,.9749271,.9338647,-.0428688,5.7075
1,43,1.025315,1.022447,.7807515,.0946922,8.769844
2,43,1.037475,1.207011,.7152946,.1340951,13.54994
3,43,1.235307,1.459023,1.333327,.9176728,17.32082
4,43,1.3051,1.353186,1.332287,1.078106,14.91395
5,43,1.188572,1.260446,1.291112,1.270746,0
6,43,1.222774,1.32044,1.502108,1.479034,12.03474
7,43,1.281369,1.407367,1.90501,1.955207,16.16553
8,43,1.2576,1.839849,2.125985,2.216365,0
9,43,1.368626,1.987617,2.129672,1.86559,27.7557
0,44,.304788,.332694,.5978387,.3046704,0
1,44,-.0273059,.0030261,.2368831,-.350903,2.431702
2,44,-.7919035,-.7412643,-.5888947,-1.294819,.8138341
3,44,-1.059806,-.7206975,-.5673218,-1.339104,.3067264
4,44,-.9563219,-.4420555,-.4078761,-1.216266,.8794413
5,44,-.9479328,-.8356312,-.3284998,-1.21751,.7749686
6,44,-.7631277,-.4917174,-.3297637,-.8342,.4008356
7,44,-.5735773,-.4970793,-.1706855,-1.054569,.592799
8,44,-.6575147,-.4787431,-.1260509,-.6653638,1.036077
9,44,-.6829304,-.663884,-.16474,-1.378697,.4709841
0,46,3.27681,4.188076,3.386116,3.184559,36.30883
1,46,3.022769,4.017947,3.326471,3.195376,29.22378
2,46,3.032754,3.889086,3.316036,2.955588,25.03521
3,46,2.994594,3.529065,3.048914,2.953168,0
4,46,2.96772,3.683754,2.947821,3.032748,25.83766
5,46,2.738636,3.358399,2.857198,2.852087,24.60981
6,46,2.838446,3.43894,2.926883,2.949977,29.24689
7,46,2.743055,3.298361,3.060337,2.687142,27.47268
8,46,2.787717,3.328485,2.939866,2.974742,34.89366
9,46,2.457083,3.347839,2.867405,2.781431,0
0,47,-.7293483,-.8124607,.040121,-.7923643,.7125138
1,47,-.6140304,-1.085425,-.0887936,-.780565,0
2,47,-.6228446,-.84124,-.4006915,-.9277036,.1847921
3,47,-.3708318,-.6674946,-.1630525,-.7279854,.435156
4,47,-.6038507,-.9202935,-.3689466,-.8642542,.3587096
5,47,-.5532905,-.7110384,-.5504871,-.7151678,.2032287
6,47,-.6174526,-.8205911,-.491661,-.8784858,.2188067
7,47,-.7556397,-1.251172,-.3515787,-.7491959,.2710378
8,47,-.809115,-.8654541,-.4555431,-.9237578,.481509
9,47,-.8393034,-.9218472,-.606987,-.8564848,.5255862
0,49,1.553595,1.563341,1.61547,1.63739,3.157587
1,49,1.162072,1.229761,1.274552,1.309081,3.439167
2,49,.6672829,1.402671,1.688353,.3084114,2.447213
3,49,.3941287,1.068946,.9393066,.3747715,1.136835
4,49,.3015798,.9537392,.6989532,.4131508,.7060902
5,49,.3246367,.8873472,.9268015,.3125283,2.391825
6,49,.4281668,.217862,.8192314,-.077452,.5991466
7,49,.0282477,.0389322,.2345504,-.0144983,.4439076
8,49,.1820354,-.372461,.2061806,-.2273636,.2483111
9,49,.3739047,-.9051617,-1.185371,-.2080103,.4467262
0,51,-.7146451,-.7733459,-1.68544,-.6028518,.6612785
1,51,-.6173323,-.4988622,-1.902148,-.9577934,.851589
2,51,-.9011926,-.8021032,-2.437891,-.9094334,.5861545
3,51,-.5781741,-.8911893,-2.121328,-.6342081,.3526313
4,51,-1.508443,-1.576157,-2.188016,-1.911815,0
5,51,-1.593442,-1.803599,-2.506222,-1.763061,0
6,51,-1.580112,-1.761224,-2.279379,-1.62333,0
7,51,-1.610808,-2.154797,-2.643429,-1.728351,0
8,51,-1.814019,-2.210015,-2.701855,-2.228061,0
9,51,-2.766938,-3.332589,-3.379502,-3.109718,0
0,52,.3316812,1.419205,1.560448,.1668429,2.093381
1,52,.5252553,1.686726,1.121235,.092319,4.171421
2,52,.3048214,1.695366,.6929696,-.0642912,0
3,52,.4076917,1.677409,1.166114,.0707805,1.668274
4,52,.012245,1.463976,.9643564,.1273366,2.901167
5,52,.318459,1.65034,1.225459,.3598671,2.797441
6,52,.4377994,1.577083,.9224853,.5495192,2.228175
7,52,.4712261,1.447088,1.009488,.3402069,1.855763
8,52,.1961438,1.290936,1.04892,.1342095,2.589228
9,52,-.1186539,1.261072,.6488008,-.0591834,4.338407
0,55,-.7013777,-1.900824,-1.591246,-1.03018,.1495284
1,55,-1.011603,-1.828908,-1.446577,-1.346833,.2972381
2,55,-1.201315,-1.902815,-1.567723,-1.594317,.145576
3,55,-1.098031,-2.322529,-1.998045,-1.543587,0
4,55,-.8486629,-2.39203,-1.872666,-1.333605,.2020742
5,55,-1.261459,-2.003753,-1.860658,-1.585119,.308062
6,55,-1.151301,-2.293413,-2.043756,-1.684441,.1593471
7,55,-.9749632,-2.208561,-2.182688,-1.376516,.1552447
8,55,-1.090181,-1.890244,-1.98467,-1.527183,.1435597
9,55,-1.177617,-1.800775,-1.974706,-1.537404,.3418902
0,56,-2.083143,-1.571709,-1.235271,-1.952364,.6392097
1,56,-2.380057,-1.13129,-1.955415,-2.617723,.7793783
2,56,-2.541389,-1.029395,-2.325899,-2.982867,.4681946
3,56,-2.00549,-1.142838,-2.016542,-2.178866,0
4,56,-2.219473,-3.147527,-2.186598,-2.289986,0
5,56,-2.099021,-3.348319,-2.001034,-2.326188,0
6,56,-2.164097,-3.473781,-2.174156,-2.447681,0
7,56,-2.202872,-3.631897,-2.544878,-2.365655,0
8,56,-2.57355,-3.722576,-2.226301,-2.335086,0
9,56,-2.366172,-3.578249,-2.65221,-2.890902,0
0,59,.6244476,1.113271,1.166434,.5791583,2.111097
1,59,.3561667,1.384439,1.04169,.4329184,0
2,59,.3823758,1.061645,.8386524,.0973853,1.878337
3,59,.3725832,1.025017,.5245468,.227909,1.494056
4,59,.4346667,1.219987,.5870353,.2675281,1.445524
5,59,.3392032,.7629085,.7022737,.0513715,2.653447
6,59,.2371288,.9178174,.5991855,-.0227527,1.431526
7,59,.4239088,.8175839,.5243943,.1638667,0
8,59,.1119795,.7920933,.4926804,.0831534,1.591057
9,59,.1325413,.5231335,.4510461,.1066729,2.218485
0,62,2.364096,2.44814,2.049567,2.450357,20.34795
1,62,2.216187,2.457736,2.003083,2.25675,17.0708
2,62,2.421341,2.316966,2.111238,2.44488,17.26699
3,62,2.25136,2.678294,1.792647,2.429899,17.08725
4,62,2.417226,2.703358,2.06419,2.56235,32.41904
5,62,2.409091,2.618925,2.1301,2.335958,23.81277
6,62,2.250117,2.393556,1.988497,2.51949,16.7974
7,62,2.180041,2.607621,2.23946,2.35916,17.60761
8,62,2.429603,2.67566,2.159303,2.549482,20.73831
9,62,2.321648,2.858405,2.241177,2.492376,21.94786
0,63,3.422832,6.287194,5.347587,4.212945,603.0629
1,63,3.471037,6.387185,5.249832,4.044501,649.3901
2,63,3.332281,6.330801,4.972425,4.256195,469.0222
3,63,3.366443,6.089508,4.967471,4.178767,0
4,63,3.178787,6.185484,4.542103,4.3277,429.1738
5,63,3.004891,6.12964,4.847049,4.236991,468.1613
6,63,3.084677,6.123977,4.747581,4.255788,250.3519
7,63,2.993019,5.943416,4.658025,4.3363,238.9641
8,63,3.181656,6.133932,4.459016,4.540513,343.743
9,63,3.318627,5.627803,4.709039,4.105946,0
0,65,.6430656,.8174252,1.566117,1.125271,1.165258
1,65,1.001208,1.236437,1.32082,.9481076,1.82923
2,65,.3581503,1.01855,1.116346,.4271795,.7011805
3,65,.54527,1.283043,.5324355,.6155299,.2652456
4,65,1.181982,1.273339,.9469362,.8647992,1.289452
5,65,1.031482,1.172867,.9830619,.7891647,1.46314
6,65,.710261,1.20231,.6653269,.3484885,.7841341
7,65,.3366359,.7530342,.1266838,.2356824,.7677184
8,65,.1379679,.4570515,-.0664688,.2277212,.8600008
9,65,-.0917139,.3414714,-.3648549,-.1759194,.5036327
0,68,.2624396,.3799728,-.2919387,.3059836,3.468896
1,68,.3986676,.3942474,-.2285057,.1966595,2.543507
2,68,.5810372,.4557864,-.3464823,.5321953,2.657762
3,68,.6328594,.528989,-.3932016,.7144587,2.514422
4,68,.8366448,.8138795,-.1913135,.7807149,7.295971
5,68,.8216932,1.146895,-.1057227,.9064813,8.186985
6,68,.8382984,1.102808,-.1308545,.8816629,0
7,68,.8125004,1.269361,-.0183587,.9510406,4.408949
8,68,.7666972,1.272091,.1405943,1.286422,4.462887
9,68,.8817347,1.42138,-.0103971,.9141861,4.456664
0,69,-.4382926,-.9986546,-1.029328,-.3990197,1.142705
1,69,-.2882181,-.837616,-1.045822,-.3108028,.9631917
2,69,-.1327154,-.5485122,-.9031503,-.267651,2.003196
3,69,-.2163582,-.2707917,-.5583801,.1629144,1.674051
4,69,-.100024,-.0318319,-.6377875,-.0335207,1.426915
5,69,-.1503153,-.1941148,-.5748222,.0056447,.728425
6,69,-.0182784,-.2438111,-.5496172,-.2536916,0
7,69,-.1487898,-.1885574,-.6689346,-.4301842,1.239088
8,69,-.361362,-.357763,-.5658547,-.6973891,.7545761
9,69,-.5385371,-.5295416,-.7479053,-.6493987,.3944448
0,70,-1.845169,-1.825218,-3.735547,-2.134466,0
1,70,-1.739038,-1.853616,-3.364237,-1.8543,.6491699
2,70,-1.787735,-1.899074,-3.64692,-1.717796,.2969602
3,70,-1.590575,-1.785723,-3.039712,-1.566873,.1229918
4,70,-1.446433,-1.806899,-2.829179,-1.521852,.3121231
5,70,-1.664689,-1.492319,-2.509037,-1.292615,.5906335
6,70,-1.466645,-1.7312,-2.457677,-1.371126,0
7,70,-1.724213,-2.025089,-2.444384,-1.713627,0
8,70,-1.927999,-2.095672,-2.694075,-1.900765,0
9,70,-1.977468,-2.129516,-2.630459,-2.222865,0
0,77,-.2330462,-.2662931,-.5755625,-.0851603,.9597711
1,77,-.1209253,-.497147,-.4921022,.0064974,.8290544
2,77,.0329649,-.2431785,-.1508785,.422533,1.371978
3,77,.1491714,-.3011648,-.3199346,.2330191,1.107939
4,77,.2911721,-.1111771,-.0227045,.5003937,2.735732
5,77,-.0386632,-.2769473,-.0623875,.2976306,2.093743
6,77,.0662465,-.1012527,-.184055,.079736,1.124406
7,77,.043574,-.0480643,-.1237665,.052932,1.193796
8,77,.2478244,-.4246255,-.1999908,.162668,1.215253
9,77,.067119,-.3171101,-.0784712,.2246019,1.428099
0,79,2.263663,4.514407,3.551623,3.111533,117.6124
1,79,2.206643,4.55133,3.584144,3.047758,72.48472
2,79,3.010235,4.755295,3.602387,3.123703,55.1483
3,79,2.940531,4.839151,3.731803,3.727502,61.38597
4,79,3.097632,4.800555,3.624319,3.485124,69.3513
5,79,2.980818,4.740535,3.680465,3.430263,75.06677
6,79,2.973957,4.486922,3.834897,3.501406,87.75333
7,79,3.033673,4.580833,3.778024,3.552798,84.32401
8,79,2.960759,4.386226,3.708918,3.498592,88.32408
9,79,2.964596,4.600513,3.427748,3.586359,91.97404
0,80,-.7221557,-2.483013,-.4887382,-1.2292,.6623333
1,80,.4514742,-.8342506,.5558558,-.0110485,2.967479
2,80,.6662877,-.5394745,1.236315,.3944848,2.909651
3,80,.7309987,.1050282,1.791345,.7414723,5.794918
4,80,.8798975,.1681069,2.213995,.7592843,4.30682
5,80,.6344203,.213785,2.574757,.8848807,5.830011
6,80,1.063511,.4456633,2.292974,1.515273,7.004326
7,80,1.283454,.3928478,2.654313,2.11478,8.825583
8,80,1.403767,1.12681,3.259811,2.382638,13.88147
9,80,1.906,1.48044,3.358032,2.767921,21.6953
0,84,-2.105195,-2.694406,-2.611643,-2.931469,.1645231
1,84,-2.161442,-2.858287,-2.466249,-3.260401,0
2,84,-2.344915,-2.711458,-3.054527,-2.630219,0
3,84,-2.135857,-1.742198,-3.418846,-2.108891,.783796
4,84,-2.434365,-1.789596,-2.496822,-2.337401,.3533451
5,84,-2.43403,-1.383809,-2.515054,-3.050364,.867157
6,84,-2.164812,-1.215966,-2.640646,-2.305494,.54554
7,84,-2.065599,-1.269759,-2.13627,-1.742039,.3475841
8,84,-2.118742,-1.131297,-2.193861,-2.227868,.3250496
9,84,-2.184248,-1.135151,-2.998985,-1.868019,.3624803
0,85,1.279477,3.148286,3.533092,1.833684,37.14002
1,85,1.34783,3.349888,3.445805,1.872527,63.2282
2,85,1.517606,3.343619,3.732522,2.076125,24.85662
3,85,1.412547,3.304926,3.477825,1.701864,20.47723
4,85,1.482621,3.511027,3.37677,1.867069,19.54254
5,85,1.360806,3.317022,3.525318,1.995918,19.61834
6,85,1.591593,3.359345,3.680077,2.304913,23.60202
7,85,1.606783,3.581872,3.7935,2.292171,30.01007
8,85,1.429263,3.553816,3.351148,2.395977,25.05162
9,85,1.640894,3.345229,3.549724,2.364134,25.29923
0,88,-.870888,-.6888413,-.4879964,-1.096566,0
1,88,-.9778918,-.6489347,-.8532138,-1.050134,.3474273
2,88,-1.171776,-.4141815,-.9650406,-1.25118,1.096532
3,88,-1.053983,-.6669438,-1.054166,-1.01187,.4177895
4,88,-.8867022,-.5548407,-.8597414,-1.007184,.7446127
5,88,-.9608041,-.5927815,-.8982391,-.9395694,.1340611
6,88,-1.046099,-1.011878,-1.058573,-.8434725,.2384018
7,88,-.8872639,-.9470119,-1.180532,-.8763778,.1420258
8,88,-1.714383,-1.389691,-1.346013,-1.539155,.1076543
9,88,-1.314963,-1.576018,-1.285033,-1.420284,.1077185
0,89,-.9958001,-2.368568,-1.565365,-1.081627,.1573593
1,89,-.9360982,-2.47212,-1.864606,-1.152696,.1034757
2,89,-1.163067,-2.356827,-1.643654,-1.274267,0
3,89,-1.031413,-2.077403,-1.93392,-1.147652,.2840252
4,89,-.7694961,-.8389135,-1.157075,-.6723944,.5237808
5,89,-1.098146,-1.023613,-1.122235,-1.246664,.1506966
6,89,-1.203741,-2.779855,-2.216497,-2.198479,0
7,89,-2.11144,-3.432631,-1.871179,-3.010346,0
8,89,-2.414466,-3.437761,-1.888719,-2.531379,0
9,89,-2.505351,-3.922576,-1.636325,-2.705987,0
0,90,3.410662,4.629431,3.959951,3.813685,50.40547
1,90,3.664506,4.371239,3.917375,3.953957,63.66898
2,90,3.181262,4.614862,3.83619,3.130702,49.84964
3,90,3.21736,4.254047,3.401,2.961588,0
4,90,3.169015,4.07798,3.268061,2.893099,17.4082
5,90,2.472706,3.812578,2.851111,2.775385,11.12296
6,90,2.442881,3.730531,2.606202,2.629595,5.648127
7,90,2.151265,3.546381,2.706053,2.426815,5.58471
8,90,2.238102,3.585539,2.602999,2.466517,8.687816
9,90,1.386742,2.677793,2.525535,1.870906,11.13463
0,95,1.564691,1.67286,1.29674,1.610927,2.574497
1,95,1.352495,1.631855,1.207809,1.337893,.9932023
2,95,1.515261,1.545152,1.180162,1.254578,1.385276
3,95,1.698068,1.424138,1.018889,1.51828,2.440666
4,95,1.712585,1.439111,1.197856,1.52148,2.77074
5,95,1.787492,1.622958,1.113948,1.724017,4.107894
6,95,2.064919,1.811959,.8073273,2.052686,2.99376
7,95,2.069232,1.58882,1.742785,1.923682,3.36097
8,95,2.029733,1.738414,1.421495,2.048116,3.584969
9,95,1.959971,1.782074,1.69301,2.032729,4.902091
0,96,1.719719,3.720552,2.668346,2.001169,23.218
1,96,1.837323,3.802631,2.4964,2.052097,25.29141
2,96,1.558541,3.598315,2.416162,1.613194,0
3,96,1.500081,3.710813,2.248605,1.921048,13.99174
4,96,1.553747,3.561081,2.283808,1.883352,4.377121
5,96,1.39494,3.455538,2.066363,1.523686,0
6,96,1.259153,3.416722,1.910953,1.492608,10.48295
7,96,1.305125,3.254435,1.925107,1.628111,2.541812
8,96,1.496396,3.227018,2.02675,1.681964,4.01417
9,96,1.268239,3.066408,2.027573,1.536473,13.50372
0,97,-2.116884,-2.249787,-2.888885,-2.209789,.1227854
1,97,-2.335938,-2.128852,-2.838574,-2.478752,0
2,97,-2.380857,-2.129424,-2.776216,-2.568508,0
3,97,-2.201947,-2.229219,-2.796957,-2.22115,0
4,97,-2.592473,-2.696903,-3.318401,-2.458628,0
5,97,-2.320225,-2.35282,-3.132477,-2.512837,.3285424
6,97,-2.441666,-2.407565,-2.897401,-2.730316,0
7,97,-2.425231,-2.162544,-3.057571,-2.374688,.1047261
8,97,-2.457885,-2.182422,-2.62348,-2.165065,.1784797
9,97,-2.411305,-2.194123,-2.480541,-2.142947,0
0,100,.4417658,.8018587,.9168276,.6559392,1.086758
1,100,.6224109,.7990162,.9485626,.7066969,1.291601
2,100,.3926795,.4512222,.5060448,.3404489,.5494009
3,100,.4872199,.5698677,.3547689,.3424022,1.121768
4,100,.3306824,.4255737,.692705,.3672376,.9488311
5,100,-.03371,.101105,.1347254,-.1143295,.5401061
6,100,-.088247,-.2380915,-.1415219,.0151499,0
7,100,-.1126632,-.4100512,-.1786171,-.0697533,0
8,100,-.0739313,-.0378534,-.014867,.2904586,0
9,100,-.2778761,.225671,.2096818,-.3759132,.4474864
0,102,3.272088,6.303905,5.348696,4.121509,617.2905
1,102,3.301289,6.217437,5.122619,3.934953,568.0256
2,102,3.332628,6.225446,4.755837,4.079716,570.4144
3,102,3.26965,5.937492,4.876696,4.124949,454.1661
4,102,2.825801,6.064648,4.745514,3.948923,415.8648
5,102,2.832632,6.149269,4.74893,3.931799,432.0388
6,102,2.47632,5.617839,4.464779,3.933979,201.823
7,102,2.414781,5.471569,4.524872,3.961173,149.9161
8,102,2.538715,5.633131,4.394748,4.12547,282.7961
9,102,2.335236,5.537735,4.157335,3.694974,179.5573
0,103,-1.633907,-3.762341,-1.892938,-1.927107,.1096159
1,103,-1.671367,-3.658557,-2.024738,-1.768139,0
2,103,-1.746657,-3.481179,-2.215657,-2.368336,0
3,103,-2.001646,-3.845211,-2.605919,-2.451665,0
4,103,-2.129723,-4.072832,-2.292057,-2.268467,0
5,103,-2.143437,-4.081414,-2.663143,-2.762569,0
6,103,-3.656859,-4.499339,-3.173965,-4.541015,0
7,103,-4.211659,-4.690255,-3.416126,-5.007757,0
8,103,-3.556475,-4.823334,-3.396047,-4.660436,0
9,103,-4.021523,-4.88029,-3.48255,-5.679896,0
0,104,.5590946,.3747035,.1560701,.7272819,2.964221
1,104,.3982188,.3347415,-.1304305,.5082445,2.566165
2,104,.4217006,.6225097,.0541767,.4442661,1.719907
3,104,.5992368,.4387226,-.2757115,.6013461,1.896641
4,104,.7815459,.5995203,-.0130957,.6968171,2.952172
5,104,.4676055,.6019889,.3058339,.5019168,2.994398
6,104,.4969349,.6959977,.0583687,.2513621,3.267152
7,104,.6132007,.7949068,.2573978,.5173362,0
8,104,.5070013,.7588096,.0905303,.1930152,0
9,104,.10905,.5279387,.0944772,.4222226,1.563264
0,107,-2.229256,-.760439,-.8700185,-2.793389,.2945476
1,107,-2.20216,-1.027133,-1.140069,-2.655149,.1207376
2,107,-2.313746,-2.011071,-2.842254,-2.249526,.1414983
3,107,-2.778352,-3.465646,-2.579838,-2.180371,0
4,107,-2.762566,-3.347882,-2.293326,-2.459091,.1007701
5,107,-2.167723,-2.834536,-2.19412,-2.362167,.1927645
